botid; date; time; press; nit; chl; l12; d12
#; mmddyy; hhmmss; dbar; umol/kg; ug/l; mg C/m3; mg C/m3
50201606;32989;12623;121.6;0.47;0.3;-9;-9
50201605;32989;12510;127.4;0.69;0.23;-9;-9
50201604;32989;12401;133.7;0.98;0.17;-9;-9
50201603;32989;12213;143.6;1.25;0.13;-9;-9
50201602;32989;12040;152.5;1.39;0.11;-9;-9
50201601;32989;11734;200.2;3.22;0.01;-9;-9
60200412;51889;71227;30.7;-0.03;-9;-9;-9
60200411;51889;70912;87.1;-0.01;-9;-9;-9
60200410;51889;70530;136.1;1.92;-9;-9;-9
60200409;51889;65636;201;4.91;-9;-9;-9
60200408;51889;64926;281.2;10.17;-9;-9;-9
60200512;51889;94945;4.5;0.01;-9;-9;-9
60200511;51889;94706;19.5;-0.03;-9;-9;-9
60200510;51889;94545;39.4;-0.03;-9;-9;-9
60200509;51889;93852;59.4;-0.01;-9;-9;-9
60200508;51889;93731;79;-0.03;-9;-9;-9
60200507;51889;93620;99;0.41;-9;-9;-9
60200506;51889;93510;108.7;0.96;-9;-9;-9
60200505;51889;92909;119.1;1.86;-9;-9;-9
60200504;51889;92802;129;2.68;-9;-9;-9
60200503;51889;92657;139.8;2.85;-9;-9;-9
60200502;51889;92022;159.7;3.23;-9;-9;-9
60200501;51889;91822;179.6;4.45;-9;-9;-9
60200612;51889;131219;199.7;4.81;-9;-9;-9
60200611;51889;130934;250.6;7.3;-9;-9;-9
60200610;51889;130628;273.5;8.9;-9;-9;-9
70200212;62489;33608;15.3;0.05;-9;-9;-9
70200211;62489;33327;79.6;0.02;-9;-9;-9
70200210;62489;33200;99.5;0.02;-9;-9;-9
70200209;62489;32536;139.5;0.36;-9;-9;-9
70200208;62489;32310;199.2;5.05;-9;-9;-9
70200207;62489;31509;242.8;10.18;-9;-9;-9
70200311;62489;71006;49.1;0.02;-9;-9;-9
70200310;62489;70604;127.6;0.05;-9;-9;-9
70200309;62489;65802;225.5;5.73;-9;-9;-9
70200412;62489;95140;105.2;0.04;-9;-9;-9
70200410;62489;94523;257.6;7.21;-9;-9;-9
70200409;62489;93834;279.8;8.33;-9;-9;-9
80200212;72889;230359;54.3;0.02;-9;-9;-9
80200211;72889;230228;98.5;0.02;-9;-9;-9
80200210;72889;230037;148.5;1.34;-9;-9;-9
80200209;72889;225357;206.8;4.3;-9;-9;-9
80200208;72889;225118;288;10.63;-9;-9;-9
80200412;72989;44817;204.9;4.92;0.02;-9;-9
80200411;72989;44658;228;5.91;-9;-9;-9
80200410;72989;44519;253.5;7.45;-9;-9;-9
80200512;72989;73217;5.6;0.02;0.13;-9;-9
80200511;72989;73023;27.4;0.02;0.13;-9;-9
80200510;72989;72902;46.8;0.02;0.16;-9;-9
80200509;72989;72744;61.7;0.02;0.14;-9;-9
80200508;72989;72620;77.3;0.02;0.19;-9;-9
80200507;72989;72441;87.8;0.02;0.22;-9;-9
80200506;72989;72254;98.5;0.04;0.37;-9;-9
80200505;72989;72146;109.3;0.04;0.36;-9;-9
80200504;72989;72025;119.2;0.06;0.28;-9;-9
80200503;72989;71851;130.5;0.12;0.26;-9;-9
80200502;72989;71730;156;1.99;0.1;-9;-9
80200501;72989;71511;181.1;3.66;0.01;-9;-9
80210008;72989;-9;5;-9;0.15;3.89;0.32
80210007;72989;-9;25;-9;0.14;5.025;0.23
80210006;72989;-9;45;-9;0.15;6.295;-9
80210005;72989;-9;75;-9;0.19;3.795;0.16
80210004;72989;-9;100;-9;0.35;3.145;0.17
80210003;72989;-9;125;-9;0.23;0.845;0.09
80210002;72989;-9;150;-9;0.09;0.225;0.1
80210001;72989;-9;175;-9;0.1;0.15;0.15
90200311;82389;235926;59.9;0.02;-9;-9;-9
90200310;82389;235712;91.6;0.04;-9;-9;-9
90200309;82389;235513;139.3;0.63;-9;-9;-9
90200308;82389;235326;191.7;3.62;-9;-9;-9
90200307;82389;235148;227.3;4.43;-9;-9;-9
90200306;82389;234917;299.8;10.82;-9;-9;-9
90200412;82489;30853;203.8;3.91;0.02;-9;-9
90200411;82489;30649;230.9;5.05;-9;-9;-9
90200410;82489;30502;255.6;7.38;-9;-9;-9
90200512;82489;55807;4.8;0.01;-9;-9;-9
90200511;82489;55554;25.8;0.02;0.13;-9;-9
90200510;82489;55423;45.8;0.02;0.12;-9;-9
90200509;82489;55301;61.6;0.02;0.17;-9;-9
90200508;82489;55147;76.1;0.02;0.25;-9;-9
90200507;82489;55035;87.3;0;0.34;-9;-9
90200506;82489;54928;97.4;0.01;0.31;-9;-9
90200505;82489;54759;109;0.02;0.32;-9;-9
90200504;82489;54656;118;0.04;0.25;-9;-9
90200503;82489;54551;130.5;0.13;0.19;-9;-9
90200502;82489;54406;157;0.91;0.08;-9;-9
90200501;82489;54245;181.8;2.75;0.05;-9;-9
90202004;-9;-9;258;5.64;-9;-9;-9
100200424;92289;73241;7.2;0.05;-9;-9;-9
100200423;92289;72812;86.7;0.07;-9;-9;-9
100200422;92289;72704;96.6;0.05;-9;-9;-9
100200421;92289;72558;108.3;0.07;-9;-9;-9
100200420;92289;72457;123.4;0.14;-9;-9;-9
100200419;92289;72355;132.9;0.69;-9;-9;-9
100200418;92289;72252;143.8;3.19;-9;-9;-9
100200417;92289;72111;182.8;4.78;-9;-9;-9
100200416;92289;71920;217.7;6.45;-9;-9;-9
100200415;92289;71641;274.2;12.01;-9;-9;-9
100200414;92289;71457;285.2;12.18;-9;-9;-9
100201223;92389;102511;6.3;0.07;0.1;-9;-9
100201222;92389;102346;26.5;0.05;0.15;-9;-9
100201221;92389;102210;47.4;0.03;0.15;-9;-9
100201220;92389;102110;63.2;0.03;0.09;-9;-9
100201219;92389;102006;79;0.03;-9;-9;-9
100201218;92389;101909;89.1;-9;0.25;-9;-9
100201217;92389;101821;98.6;0.04;0.43;-9;-9
100201216;92389;101728;111.2;0.07;0.31;-9;-9
100201215;92389;101631;119.9;0.38;0.26;-9;-9
100201214;92389;101503;131.7;0.93;0.2;-9;-9
100201213;92389;101347;157.5;5.29;0.05;-9;-9
100201212;92389;101225;182.1;5.53;0.02;-9;-9
100201211;92389;101105;206.7;5.95;0.01;-9;-9
100201210;92389;100925;231.7;5.86;-9;-9;-9
100201209;92389;100757;257.6;8.16;-9;-9;-9
100201208;92389;100625;282.5;11.34;-9;-9;-9
100210008;92289;-9;2;-9;0.12;3.8;0.45
100210007;92289;-9;10;-9;0.13;5.21;0.33
100210006;92289;-9;45;-9;0.13;5.29;0.38
100210005;92289;-9;75;-9;0.11;0.79;0.22
100210004;92289;-9;100;-9;0.22;3.03;0.13
100210003;92289;-9;125;-9;0.14;0.69;0.13
100210002;92289;-9;150;-9;0.04;0.12;0.13
100210001;92289;-9;175;-9;0.02;0.125;0.12
110200323;101889;63300;9.5;-0.01;-9;-9;-9
110200322;101889;63217;26.3;-0.01;-9;-9;-9
110200320;101889;62947;78.9;-0.01;-9;-9;-9
110200319;101889;62828;118.1;0.01;-9;-9;-9
110200318;101889;62736;133.3;0.18;-9;-9;-9
110200317;101889;62557;198.5;2.63;-9;-9;-9
110200316;101889;62430;246.1;4.43;-9;-9;-9
110200315;101889;62251;296.3;7.7;-9;-9;-9
110201617;101989;214946;4.8;0.01;0.08;-9;-9
110201616;101989;214725;25.5;0.04;0.1;-9;-9
110201615;101989;214629;45.4;0.01;0.13;-9;-9
110201614;101989;214545;61.7;0.01;0.15;-9;-9
110201613;101989;214504;76.4;0.01;0.2;-9;-9
110201612;101989;214425;86.7;0.01;0.36;-9;-9
110201611;101989;214344;96.5;0.04;0.29;-9;-9
110201610;101989;214309;106.4;0.16;0.16;-9;-9
110201609;101989;214234;116.8;0.27;0.14;-9;-9
110201608;101989;214149;129.7;0.42;0.08;-9;-9
110201607;101989;214059;153.9;0.84;0.03;-9;-9
110201606;101989;213958;181.7;1.6;0.01;-9;-9
110201605;101989;213855;207.3;2.57;0.01;-9;-9
110201603;101989;213637;258;5.48;-9;-9;-9
110210008;101889;-9;5;-9;0.12;5.225;0.25
110210007;101889;-9;20;-9;0.11;3.61;0.31
110210006;101889;-9;45;-9;0.21;6.545;0.24
110210005;101889;-9;80;-9;0.26;3.715;0.13
110210004;101889;-9;100;-9;0.15;1.19;0.1
110210003;101889;-9;120;-9;0.07;0.325;0.1
110210002;101889;-9;160;-9;0.02;0.09;0.11
110210001;101889;-9;175;-9;0.01;0.08;0.09
120200322;112889;104548;30.6;0.04;-9;-9;-9
120200321;112889;104436;56.4;0.01;-9;-9;-9
120200320;112889;104319;80;0.04;-9;-9;-9
120200319;112889;104210;99.3;0.06;-9;-9;-9
120200318;112889;104055;121.6;0.41;-9;-9;-9
120200317;112889;103938;147.2;1.35;-9;-9;-9
120200315;112889;103625;226.9;4.7;-9;-9;-9
120200314;112889;103421;299.8;11.72;-9;-9;-9
