"DOY" "Depth" "Chl"
46 150 0.01
46 174.4 0.01
46 199.3 0.01
154 0 0.97
154 4.9 1.01
154 9.6 1.015
154 19.5 0.99
154 29.9 0.92
154 39.6 0.85
154 49.7 0.73
154 59.4 0.48
154 69.7 0.29
154 79.6 0.2
154 90 0.11
154 99.9 0.05
154 125.5 0.02
154 150 0.01
154 201 0.01
163 0 1.47
163 4.2 1.23
163 9.6 1.395
163 14.3 1.38
163 19.9 1.43
163 29.4 1.23
163 39.9 0.88
163 49.7 0.49
163 59.3 0.32
163 69.6 0.25
163 79.1 0.2
163 89.5 0.12
163 99.9 0.07
163 124.5 0.02
163 150 0.01
163 200.3 0.01
172 0 0.54
172 5.1 0.52
172 10.2 0.55
172 15.2 0.52
172 19.9 0.53
172 24.9 0.6
172 34.4 1.01
172 44.7 1.16
176 0 0.52
176 11 0.475
176 19.4 0.48
176 29.7 0.62
176 39.7 0.74
176 49.8 0.79
176 59.3 1.09
176 69.7 0.65
176 80.5 0.24
176 89.5 0.11
176 124 0.04
176 150 0.02
176 199.5 0.01
180 0 0.31
180 5.2 0.29
180 9.9 0.325
180 14.9 0.3
180 19.9 0.32
180 25.1 0.34
180 30 0.39
180 35.1 0.52
180 40.3 0.87
180 44.8 0.94
180 50.2 0.83
180 60.4 0.65
180 70.5 0.45
180 79.9 0.22
180 89.6 0.13
180 100 0.06
180 124.9 0.02
180 150 0.01
180 200.7 0.01
182 0 0.385
182 9.9 0.3
182 19.7 0.29
182 29.8 0.31
182 39.8 0.35
182 49.8 0.68
182 59.6 0.72
182 69.2 0.35
182 79.9 0.2
182 90.1 0.09
182 99.7 0.05
182 124.8 0.02
182 150 0.02
182 201.2 0.01
189 0 0.785
189 4.7 0.76
189 10 0.81
189 14.8 0.96
189 20.1 1.08
189 30.2 1.17
189 40.4 1.16
189 50.5 0.83
189 60 0.43
189 70.3 0.22
189 80.3 0.43
189 89.8 0.81
189 101 0.16
189 125.4 0.04
189 150 0.02
189 201.2 0.01
191 0 0.885
191 9.9 0.95
191 19.8 0.98
191 30 1.33
191 40.1 1.02
191 50.2 0.58
191 59.7 0.31
191 70 0.29
191 79.8 0.18
191 90.1 0.11
191 100.1 0.04
191 124.7 0.03
191 150 0.02
191 200.5 0.02
197 0 0.44
197 4.8 0.39
197 10.1 0.405
197 19.8 0.39
197 29.9 0.48
197 39.5 0.67
197 44.9 0.77
197 49.2 0.9
197 55.1 0.78
197 59.8 0.53
197 70.6 0.23
197 80.1 0.18
197 89.5 0.09
197 100 0.06
197 124.6 0.02
197 150 0.02
197 199.9 0.01
