"DOY" "Depth" "TIN"
25 90 21.765
25 100.8 21.71
25 125.3 34.465
25 150 41.065
25 175.8 44.38
25 201.4 45.12
25 226 45.34
25 0 21.33
25 10 21.33
25 19.2 21.295
25 31.7 21.255
25 51.6 21.41
25 75.2 21.36
25 98.2 21.45
25 125 35.115
25 150 40.49
25 175 44.03
25 198.2 44.975
25 249 45.1
45 0 22.605
45 5.1 22.405
45 10.8 22.48
45 21 22.925
45 30.2 22.53
45 40.3 22.42
45 49.9 22.445
45 58.8 22.435
45 71.1 22.43
45 80.6 22.465
45 91.6 22.485
45 100.2 22.395
45 124.1 22.7
45 150 37.17
45 175.8 39.29
45 200.1 43.13
45 224.9 43.935
45 250 44.61
45 0 22.6
45 5.8 22.605
45 49.7 22.47
45 101.3 22.56
45 124.9 33.605
45 150 39.905
45 173.3 42.32
45 200.3 43.885
45 246.7 45.52
46 0 22.69
46 4.6 22.63
46 10.1 22.67
46 25.4 22.645
46 30.4 22.615
46 39.3 22.595
46 54.6 22.61
46 60.8 22.635
46 69.4 22.66
46 79.5 22.67
46 89.8 22.58
46 99.9 22.585
46 125.2 23.19
46 150 41.125
46 174.4 43.56
46 199.3 44.375
46 224.8 45.19
297 0 9.08
297 8.5 9.08
297 18.8 9.08
297 29.9 9.39
297 50.9 24.36
297 74.3 25.42
297 99.7 27.21
297 150 39.01
297 199.8 42.91
297 248.4 43.21
300 0 9.96
300 5.2 9.95
300 10.3 9.95
300 16.5 9.96
300 24.8 9.97
300 30.1 9.97
300 39.7 10.66
300 51.5 25.04
254 0 8.51
254 9.7 8.18
254 20.3 8.42
254 29.2 12.03
254 49 22.49
254 73.9 25.08
254 99.7 25.93
254 150 39.21
254 199.1 43.74
254 247.4 44.55
154 0 22.75
154 4.9 22.61
154 9.6 22.7
154 19.5 22.59
154 29.9 22.88
154 39.6 23.34
154 49.7 23.49
154 59.4 23.9
154 69.7 24.49
154 79.6 24.78
154 90 26.02
154 99.9 28.03
154 125.5 33.13
154 150 36.4
154 201 38.51
154 9.7 22.44
154 19.8 22.43
154 30.2 22.43
154 49.4 23.13
154 74.8 24.6
154 99 26.72
154 150 35.71
154 198.1 39.5
154 247.7 41.1
163 0 21.06
163 4.2 20.95
163 9.6 20.93
163 14.3 20.91
163 19.9 21.13
163 29.4 22.49
163 39.9 23.45
163 49.7 23.93
163 59.3 24.21
163 69.6 24.49
163 79.1 24.59
163 89.5 25.18
163 99.9 26.19
163 124.5 31.31
163 150 36.31
163 200.3 38.61
173 0 20.48
173 9.6 19.12
173 19.5 19.2
173 29.7 19.9
173 39.2 23.16
173 49.4 24.11
173 59.6 24.83
173 69.1 24.98
173 79.2 25.38
173 89.1 25.91
173 99.6 26.89
173 123.8 32.07
173 150 36.56
173 197.9 39.44
173 247.7 41.11
176 0 20.47
176 11 20.34
176 19.4 20.48
176 29.7 20.32
176 39.7 21.5
176 49.8 23.81
176 59.3 24.26
176 69.7 24.71
176 80.5 25.06
176 89.5 25.31
176 98.7 25.05
176 124 29.83
176 150 35.62
176 199.5 38.61
180 0 20.05
180 5.2 20
180 9.9 20.03
180 14.9 20.27
180 19.9 20.39
180 25.1 20.47
180 30 21
180 35.1 22.18
180 40.3 23.15
180 44.8 23.82
180 50.2 24.57
180 60.4 25.04
180 70.5 24.48
180 79.9 23.72
180 89.6 24.4
180 100 25.94
180 124.9 31.34
180 150 35.62
180 200.7 38.42
182 0 19.93
182 9.9 19.82
182 19.7 19.85
182 29.8 20.43
182 39.8 21.24
182 49.8 22.38
182 59.6 23.91
182 69.2 25.19
182 79.9 25.36
182 90.1 25.95
182 99.7 27.03
182 124.8 31.82
182 150 35.32
182 201.2 39.02
189 0 18.54
189 4.7 18.48
189 10 18.53
189 14.8 19.03
189 20.1 19.91
189 30.2 21.31
189 40.4 23.27
189 50.5 24.29
189 60 24.87
189 70.3 25.2
189 80.3 25.5
189 89.8 25.76
189 101 26.3
189 125.4 28.22
189 150 32.23
189 201.2 37.71
191 0 17.61
191 9.9 17.6
191 19.8 18.65
191 30 20.35
191 40.1 23.34
191 50.2 24.45
191 59.7 24.69
191 70 24.85
191 79.8 25.2
191 90.1 25.6
191 100.1 26.84
191 124.7 31.43
191 150 35.03
191 200.5 38.31
195 0 18.39
195 9.6 18.46
195 19.8 18.71
195 29.7 20.09
195 39.4 23.23
195 49.7 24.53
195 59.2 24.89
195 69.4 25.63
195 79.9 25.71
195 89.6 26.01
195 99.3 26.02
195 124 30.83
195 150 35.01
195 198.4 39.51
197 0 18.22
197 4.8 18.24
197 10.1 18.21
197 19.8 17.95
197 29.9 19.71
197 39.5 21.72
197 44.9 22.49
197 49.2 23.27
197 55.1 24.02
197 59.8 24.68
197 70.6 25.19
197 80.1 25.41
197 89.5 25.71
197 100 26.67
197 124.6 30.55
197 150 35.74
197 199.9 38.95
98 0 23.36
98 8.4 23.29
98 30.8 23.6
98 50.1 23.69
98 75.2 23.92
98 100.3 23.82
98 124.9 23.93
98 150 29.23
98 174.8 39.4
98 200.1 41.7
229 9.3 10.34
229 19.4 10.54
229 29.8 17.62
229 50.1 22.45
229 73.8 23.31
229 101.4 23.61
229 150 28.91
229 198.3 38.41
229 249.2 41.41
294 0 12.93
294 9.8 12.71
294 29.6 12.82
294 49.6 22.07
