"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-942.016550302505 3.23811197179783e-07 1.68163058896877e-06 1.262684185131e-06 1.07249322048757e-06 8.12863710329071e-07 2.89983091489373e-07 -1.3226444250067e-07 -3.89421227795759e-07 -8.48334031761583e-07 -4.23417568851956e-07 7.69651413839062e-07 1.56200824564057e-06
-812.315661907196 3.31198534866424e-07 1.68399229976918e-06 1.25974807375515e-06 1.08461566441973e-06 8.27275236505778e-07 2.05365067601822e-07 -1.41507915335415e-07 -5.16911139822559e-07 -9.69721532645718e-07 -4.97138149514708e-07 7.18402641956548e-07 1.60023945287119e-06
-700.604972839355 3.78334985176359e-07 1.70390833436492e-06 1.30012327099756e-06 1.07291774503081e-06 8.51700726685214e-07 2.46171217331362e-07 -1.56976736703338e-07 -5.07684584601159e-07 -9.82624817159091e-07 -4.99555450079326e-07 7.20129360520246e-07 1.59216913221898e-06
-604.377481937409 4.23766139077775e-07 1.72402844410485e-06 1.33827966696936e-06 1.09685472230063e-06 8.10697013080776e-07 2.20606479942358e-07 -1.3416885056375e-07 -5.66947396107179e-07 -1.01970994280083e-06 -5.41126491503059e-07 6.94236331807761e-07 1.61551845407844e-06
-521.475361585617 4.18120179067026e-07 1.76300556717234e-06 1.38634795398732e-06 1.11570645057551e-06 8.31360371413597e-07 2.41355752660071e-07 -1.49695071614775e-07 -5.53669682745821e-07 -1.03510563182502e-06 -5.10070176110678e-07 7.68290346140003e-07 1.6200274672364e-06
-450.041028261185 4.63470281355433e-07 1.79499085344375e-06 1.39991685879654e-06 1.09717217424773e-06 8.45472523462436e-07 2.34241128652967e-07 -1.51076886104502e-07 -6.01732042149844e-07 -1.06396563797005e-06 -4.46989362044978e-07 8.22435681947393e-07 1.64839477664772e-06
-388.475444316864 4.44953105509214e-07 1.81547027938063e-06 1.41223443421906e-06 1.11059336458741e-06 8.48011353670777e-07 2.39526870815026e-07 -1.60712834440177e-07 -6.15093987206249e-07 -1.04980802112548e-06 -3.16101899562591e-07 9.56792346412256e-07 1.71381122238386e-06
-335.402112007141 4.79153945597822e-07 1.83524830054776e-06 1.45325798099677e-06 1.14680111100171e-06 8.24259850049084e-07 2.46116727864071e-07 -1.82155274939691e-07 -6.29000993868815e-07 -1.04517370035669e-06 -1.48264233663853e-07 1.15687678089602e-06 1.80291975505603e-06
-289.635889530182 4.69724492833297e-07 1.86927218165938e-06 1.47674176882415e-06 1.14670441143344e-06 8.22875361651615e-07 2.43653117027662e-07 -1.84380046196794e-07 -6.17063725997989e-07 -1.01186479040774e-06 -7.42475537628432e-09 1.34792755834583e-06 1.93353896196034e-06
-250.156358480453 4.83761619676445e-07 1.89332861851061e-06 1.5144974999939e-06 1.09328662975877e-06 8.2599695227118e-07 2.52152860673627e-07 -1.98075741262262e-07 -6.00315280638736e-07 -9.75665027442148e-07 7.49530908453266e-08 1.54220199868955e-06 1.99968612117458e-06
-216.084862947464 4.92765770513563e-07 1.92037326914387e-06 1.51607326153673e-06 1.1303155016955e-06 8.24114034508645e-07 2.59941927415337e-07 -1.87188037653477e-07 -5.91090660925416e-07 -9.07105179946515e-07 1.00436964979947e-07 1.67039969230453e-06 2.06144328260831e-06
-186.664608120918 4.90036208142363e-07 1.935048009544e-06 1.55884974857246e-06 1.12105039128418e-06 8.25259259672474e-07 2.54409707946939e-07 -1.83172806746591e-07 -5.9273813031236e-07 -8.44585317037669e-07 6.25448019727481e-08 1.72498291004331e-06 2.10263128862842e-06
-161.243677139282 5.18711338083136e-07 1.92054318026668e-06 1.56626093840416e-06 1.11490939053368e-06 8.21054267248082e-07 2.57448373049934e-07 -1.62708062821755e-07 -5.92869812415418e-07 -7.89095572502112e-07 3.1469638515161e-09 1.69513400395441e-06 2.07622144174881e-06
-139.260291457176 5.32817669415366e-07 1.95396382872378e-06 1.57192201601205e-06 1.11631596729699e-06 8.06543097643269e-07 2.47788937565552e-07 -1.34653520325667e-07 -5.7186340432925e-07 -7.27120861246622e-07 -4.87795042482829e-08 1.61472495320385e-06 1.99470551604689e-06
-120.230160951614 5.57739831027446e-07 1.96838060593836e-06 1.60231281994159e-06 1.06679422123686e-06 8.01567202044508e-07 2.45147451054353e-07 -1.14913643435799e-07 -5.31117027931794e-07 -6.80248994147732e-07 -8.77141511745067e-08 1.51745451658419e-06 1.87689844551044e-06
-103.7355864048 5.53602048943223e-07 1.97485428650141e-06 1.58827485680992e-06 1.06529128514819e-06 7.88243784757888e-07 2.53040925557858e-07 -9.80108872062372e-08 -4.68774517209123e-07 -6.42150996130109e-07 -9.35144408906553e-08 1.42422396377723e-06 1.75405735546961e-06
-89.4160109758377 5.66134920608265e-07 1.98204305296396e-06 1.60281479925523e-06 1.03868525238946e-06 7.78720659192713e-07 2.76793705580718e-07 -8.0955203998806e-08 -4.00591087849957e-07 -6.01193639801612e-07 -7.79963726392906e-08 1.35233611235525e-06 1.62336831114003e-06
-76.959912776947 5.53589036850156e-07 2.0210087735118e-06 1.59774189440947e-06 1.02378519235698e-06 7.6706741478651e-07 2.91657145392531e-07 -5.83735134297301e-08 -3.28008441629313e-07 -5.5449130722169e-07 -5.53721173159146e-08 1.30176690102646e-06 1.53636524494389e-06
-66.0977721214294 5.62908958912624e-07 2.04698818330108e-06 1.61586211722929e-06 9.9794391012583e-07 7.5463344460545e-07 3.02067205222697e-07 -3.75575520808944e-08 -2.56581062673254e-07 -5.04766743624871e-07 -2.77914033753064e-08 1.26381769653123e-06 1.46451331409775e-06
-56.5960013866425 5.57708076968342e-07 2.07430393261991e-06 1.64458038486317e-06 9.69051080323373e-07 7.39135433243105e-07 3.12846836509425e-07 -1.54066950578781e-08 -1.87090077643635e-07 -4.5358455193547e-07 2.6989600622385e-09 1.22892496374929e-06 1.38079715744949e-06
-48.251688182354 5.23405200136094e-07 2.07867404514138e-06 1.65107455944012e-06 9.5426123804037e-07 7.21972542637941e-07 3.2548011463056e-07 1.24325368489654e-08 -1.21592127238601e-07 -4.02947942156938e-07 3.42958007550081e-08 1.20247701900035e-06 1.32725269669188e-06
-40.8879965543747 5.31076700807693e-07 2.06706197548125e-06 1.69389226721946e-06 9.40847385669104e-07 7.06783854277515e-07 3.39277431085459e-07 4.12984672813254e-08 -6.21924319071262e-08 -3.54184186876592e-07 6.76519529982665e-08 1.18286531908619e-06 1.30863334530063e-06
-34.3502059578896 5.53330638696108e-07 2.12616002032404e-06 1.76614583068162e-06 9.19632251021105e-07 6.92160763327214e-07 3.4937307327903e-07 6.80628235043817e-08 -8.61148130620289e-09 -3.06939271308351e-07 1.02865681447191e-07 1.16339229665897e-06 1.28670602310583e-06
-28.5022133588791 9.66874954507882e-07 2.09247383016261e-06 1.71853626415646e-06 9.08844006282896e-07 6.73987573859416e-07 3.52486507796163e-07 9.44852388464351e-08 4.10302020625876e-08 -2.60615292139734e-07 1.37936383304658e-07 1.18801476631033e-06 1.03050872683424e-06
-23.2234618067741 7.89334944104985e-07 2.12222788173288e-06 1.70691927127536e-06 9.0175737872609e-07 6.47707180271015e-07 3.46151309732866e-07 1.21786331885833e-07 8.79059441661705e-08 -2.15248997182449e-07 1.67745794344781e-07 1.03236026876368e-06 3.85275849973573e-07
-18.4062264859676 -3.10260322342366e-08 1.7674241956884e-06 1.75623530559371e-06 1.08443442971191e-06 6.14798081275665e-07 3.29940909611946e-07 1.50038529323864e-07 1.31674170688396e-07 -1.71496354246287e-07 2.04311527363928e-07 7.73221788143289e-07 -1.49806299607807e-07
-13.9531894028187 -4.22028267841761e-07 1.0782912996858e-06 1.41402054482774e-06 9.82631434307451e-07 6.08534292473334e-07 3.05619870654453e-07 1.78271432072282e-07 1.71596276302549e-07 -1.30199515056302e-07 2.30085152661234e-07 6.47672133160496e-07 -3.41863688499148e-07
-9.7752384096384 -7.21073534773555e-07 6.92083221925747e-07 8.81183768259665e-07 5.17919951698779e-07 3.7979270832323e-07 2.8583286514896e-07 2.04877463639486e-07 2.07578352239035e-07 -8.3978112313078e-08 4.40452229637532e-08 5.40135695442233e-07 -4.98131925195979e-07
-5.78946575522423 -9.66511860034681e-07 4.23860736064687e-07 5.37780027478893e-07 2.89725329689734e-07 2.14292543065804e-07 2.2588573616463e-07 2.36619096979716e-07 2.46018395196703e-07 1.43898386388298e-08 -5.12557345737385e-08 4.25161537918495e-07 -6.40756543192676e-07
-1.91729372367263 -1.17936677352514e-06 2.38134994209961e-07 2.91863259238805e-07 2.33046271545769e-07 2.88222244998309e-07 1.90999637965956e-07 2.36208773261996e-07 2.72223172795628e-07 1.58319659007097e-07 1.14441774896189e-07 2.88817120244731e-07 -7.83635840115493e-07
