"DOY" "Depth" "NPP"
137 100.4 3.027
137 124.8 1.533
176 8 8.413
176 25.9 7.663
176 45.1 8.087
176 76.1 6.66
176 101.8 5.207
176 125.7 1.233
254 6.8 7.97
254 25.4 8.477
254 45.2 7.837
254 75.6 4.155
254 101.3 2.613
254 125.8 1.27
274 7.5 8.96
274 25.2 9.453
274 45.1 9.747
274 76 3.79
274 99.5 1.62
274 125.7 0.523
300 7.7 8.92
300 25.4 8.103
300 45.7 7.113
300 75.5 4.53
300 100.2 2.4
300 124.8 0.5
330 7.6 6.64
330 25.2 6.69
330 45.7 6.37
330 74.3 4.34
330 100.7 1.96
330 126.3 0.363
354 7.5 6.435
354 25.2 6.357
354 44.8 5.027
354 74.2 2.985
354 100.2 1.27
354 125.6 0.293
15 6.3 4.627
15 24.3 5.267
15 45.9 4.293
15 75.9 2.735
15 101.1 1.393
15 126.3 0.743
45 7.8 4.137
45 26.2 3.387
45 44.2 2.333
45 74.9 1.325
45 100.4 1.02
45 125.4 0.213
64 7 6.813
64 24.8 7.503
64 46.4 6.507
64 75.5 4.61
64 100.5 3.45
64 124.2 0.72
100 4.5 7.283
100 23.9 7.927
100 45 7.96
100 72.8 5.647
100 99.2 3.53
100 124.8 1.977
152 5.4 9.193
152 24.7 6.183
152 44.8 5.34
152 75.4 5.605
152 100.2 6.613
152 125.6 1.937
181 5.1 9.533
181 24.9 9.887
181 45.2 6.735
181 75.7 4.32
181 100 2.217
181 124.4 1.583
257 7.7 6.913
257 45.1 6.713
257 75.3 4.343
257 100.2 2.743
257 125.1 0.587
286 8 10.373
286 24.9 11.787
286 45.8 8.793
286 74.1 4.41
286 100.3 1.927
286 124.6 0.383
325 6.9 8.257
325 25.4 8.257
325 44.7 5.977
325 74.4 3.513
325 100.4 1.21
325 125.4 0.283
350 7.4 5.2
350 25.1 7.36
350 44.5 5.497
350 75.3 2.197
350 100.6 1.237
350 125.5 0.38
