"DOY" "Depth" "NPP"
300 45 5.19
300 75 1.84
300 100 1.26
300 125 0.393
300 150 0.177
300 175 0.045
321 5 7.326
321 25 5.547
321 45 4.868
321 75 2.482
321 100 1.085
321 125 0.127
321 150 0.098
321 175 0.075
17 5 5.243
17 25 4.91
17 45 3.483
17 75 0.972
17 100 0.857
17 125 0.203
17 150 0.093
87 5 7.368
87 25 6.84
87 45 6.83
87 75 1.732
87 100 1.27
87 125 0.937
87 150 0.153
87 175 0.153
115 5 6.997
115 25 7.074
115 45 5.666
115 75 0.51
115 100 1.907
115 125 1.283
143 5 9.03
143 25 7.927
143 45 5.89
143 75 2.307
143 100 2.29
143 125 0.853
143 150 0.42
178 5 8.67
178 25 7.744
178 45 6.453
178 75 0.916
178 100 2.2
178 125 0.72
178 150 0.43
209 5 9.127
209 25 7.867
209 45 5.253
209 75 2.01
209 100 0.997
209 125 0.41
209 150 0.183
209 175 0.13
234 5 10.32
234 25 9.34
234 45 9.017
234 75 0.647
234 100 1.9
234 125 0.696
234 150 0.174
234 175 0.153
276 5 10.787
276 25 9.59
276 45 5.57
276 75 3.56
276 125 0.343
276 150 0.173
304 5 6.076
304 25 4.01
304 45 1.717
304 75 2.877
304 100 0.936
304 125 0.247
304 150 0.103
304 175 0.04
346 5 4.8
346 25 6.37
346 45 4.017
346 75 1.13
346 100 1.017
346 125 0.35
346 150 0.213
8 5 6.556
8 25 4.563
8 45 0.96
8 75 3.15
8 100 0.93
8 125 0.323
8 150 0.24
8 175 0.086
49 5 6.44
49 25 5.11
49 45 2.736
49 75 3.77
49 100 2.444
49 125 0.87
49 175 0.17
71 5 7.103
71 25 1.7
71 45 5.036
71 75 2.974
71 100 2.72
71 125 0.637
71 150 0.177
99 5 3.015
99 25 1.804
99 45 2.082
99 75 2.953
99 100 1.223
99 125 0.127
99 150 0.097
99 175 0.09
127 5 4.98
127 25 5.39
127 45 8.052
127 75 2.662
127 100 4.915
127 125 1.335
127 150 0.215
127 175 0.04
155 5 9.046
155 25 8.327
155 45 5.55
155 75 2.573
155 100 2.153
155 125 1.204
155 150 0.286
155 175 0.07
190 5 4.095
190 25 7.035
190 45 4.255
190 75 2.415
190 100 1.62
190 125 0.605
190 150 0.145
214 5 3.763
214 25 7.146
214 45 6.274
214 75 2.57
214 100 1.966
214 125 0.663
214 150 0.18
214 175 0.178
268 5 6.1
268 25 6.673
268 45 4.686
268 75 2.84
268 100 1.443
268 125 0.747
268 150 0.25
11 5 5.62
11 25 5.517
11 45 3.207
11 75 3.163
11 100 0.924
11 125 0.29
11 150 0.077
11 175 0.113
50 5 5.338
50 25 5.054
50 45 4.363
50 75 3.53
50 100 2.516
50 125 0.537
77 5 7.933
77 25 6.64
77 45 5.73
77 75 4.197
77 100 2.37
77 125 0.64
77 150 0.294
77 175 0.19
105 5 7.123
105 25 6.73
105 45 6.71
105 75 3.58
105 100 3.73
105 125 0.668
105 150 0.41
133 5 7.677
133 25 6.737
133 45 7.49
133 75 4.692
133 100 2.75
133 125 1.183
133 150 0.367
133 175 0.223
168 5 6.58
168 25 7.593
168 45 7.242
168 75 5.143
168 100 3.126
168 125 1.354
168 150 0.437
168 175 0.14
196 5 9.163
196 25 8.713
196 45 7.027
196 75 4.24
196 100 2.534
196 125 1.19
196 150 0.23
196 175 0.08
222 5 12.984
222 25 10.916
222 45 4.567
222 75 1.978
222 100 1.247
222 125 0.526
222 150 0.277
222 175 0.187
271 4.9 5.205
271 25.1 5.295
271 45.5 4.195
271 74.5 3.935
271 100.4 1.465
271 124.9 0.55
271 151 0.265
271 177.4 0.09
271 5 4.64
271 25 4.8
271 45 4.32
271 75 3.26
271 100 1.335
271 125 0.54
271 150 0.2
271 175 0.11
292 5.7 6.19
292 25.1 5.395
292 45.5 4.28
292 75.4 3.24
292 100.3 1.405
292 125.4 0.27
292 150 0.13
292 175.3 0.07
292 5 4.835
292 25 5.595
292 45 4.835
292 75 3.81
292 100 1.315
292 125 0.525
292 150 0.145
292 175 0.14
315 5 6.19
315 24.6 5.64
315 43.9 3.29
315 75.2 2.235
315 100.2 0.65
315 125.1 0.21
315 149.7 0.105
315 175.4 0.095
315 5 7.14
315 25 6.13
315 45 4.12
315 75 2.095
315 100 0.65
315 125 0.235
315 150 0.1
343 5.2 4.005
343 25.5 2.328
343 46.6 1.445
343 74.9 0.625
343 100.1 0.3
343 126.5 0.15
343 150.9 0.2
343 175.2 0.125
343 5 5.105
343 25 1.965
343 45 1.84
343 75 0.56
343 100 0.26
343 125 0.195
13 4.4 7.175
13 25.7 7.355
13 46.2 5.005
13 75.9 1.855
13 100.6 0.4
13 125.4 0.265
13 150.2 0.11
13 175.6 0.06
13 5 7.875
13 25 6.175
13 45 4.625
13 75 1.645
13 100 0.73
13 125 0.325
13 150 0.12
49 5 6.41
49 25 5.12
49 45 3.45
49 75 3.63
49 100 1.385
49 125 0.51
49 150 0.17
49 175 0.05
76 5 6.403
76 25 6.327
76 45 6.514
76 75 4.322
76 100 2.967
76 125 0.5
76 150 0.24
76 175 0.09
104 5 6.504
104 25 7.19
104 45 7.254
104 75 4.65
104 100 2.327
104 125 1.293
104 150 0.43
130 5 10.107
130 25 8.456
130 45 6.103
130 75 5.35
130 100 1.46
130 125 0.37
195 5 6.024
195 25 5.857
195 45 5.15
195 75 3.963
195 100 2.565
195 125 1.17
195 150 0.326
195 175 0.137
226 5 9.663
226 25 9.394
226 45 9.47
226 75 4.423
226 100 1.716
226 125 0.32
226 150 0.187
288 5 7.605
288 25 6.503
288 45 5.85
288 75 4.373
288 100 2.487
288 125 0.633
288 150 0.183
313 5 6.846
313 25 5.775
313 45 5.235
313 75 2.447
313 100 0.59
313 125 0.477
313 150 0.19
349 5 5.996
349 25 6.47
349 45 5.314
349 75 2.046
349 100 1.04
349 125 0.36
349 150 0.22
349 175 0.2
34 24.3 3.77
34 45 4.22
34 5 5.353
34 25 4.443
34 45 3.61
34 75 2.176
34 100 1.114
34 125 0.59
34 150 0.213
34 175 0.11
61 24 6.907
61 44.7 6.273
61 5 7.007
61 25 7.696
61 45 6.653
61 75 4.126
61 100 2.52
61 125 1
61 150 0.2
61 175 0.103
89 25.2 5.567
89 45.2 4.857
89 5 6.053
89 25 6.117
89 45 5.197
89 75 3.146
89 100 1.21
89 125 1.15
89 150 0.26
89 175 0.117
117 24.9 9.167
117 45.4 7.913
117 5 9.482
117 25 8.52
117 45 6.582
117 75 4.753
117 100 2.596
117 125 0.15
117 150 0.257
117 175 0.593
146 5.2 5.547
146 24.7 5.622
146 45 4.423
146 74.5 3.247
146 99.1 2.113
146 125.1 1.226
146 150.3 0.414
146 175.3 0.14
146 25 5.11
146 45 5.265
173 5 25.52
173 24.6 27.53
173 45.4 3.735
173 75.6 1.563
173 99.7 1.442
173 124.9 0.923
173 149.8 0.552
173 174.5 0.117
173 25 20.225
173 45 6.005
208 4.6 16.263
208 24.8 15.532
208 44.3 9.266
208 74.2 2.835
208 100 1.314
208 125.5 0.584
208 149.3 0.244
208 173.9 0.092
236 4.9 7.65
236 25 8.203
236 44.9 8.17
236 74.1 5.468
236 98.8 2.597
236 125.1 0.696
236 149.5 0.12
236 177.1 0.045
236 25 5.775
236 45 6.655
292 4.7 4.917
292 24.9 4.423
292 45 3.8
292 74.1 2.375
292 98.9 1.357
292 125.3 0.27
335 4.7 7.557
335 25.1 6.713
335 44.9 5.033
