"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12"
-437.582904843136 -4.05302814706818e-06 2.24283369261743e-06 -1.99094567266082e-06 3.25698769767993e-07 -2.3433793871122e-06 4.06385436897844e-06 3.52017522387206e-06 -1.38188311267092e-06 -4.41248594610059e-06 8.45661128846411e-06 8.62184594090226e-07 -6.80123591826717e-06
-377.84615134575 -4.00899391717828e-06 2.46042306483536e-06 -1.32735143541159e-06 -7.79170887046843e-07 -2.47886911824808e-06 2.28196495252305e-06 4.21918158145496e-06 -8.8296480596481e-07 -4.45871627351948e-06 7.04146149678719e-06 5.28219125880264e-07 -6.86210434968338e-06
-326.350719558048 -4.90441626772667e-06 1.54162132507132e-06 -1.54188185575163e-06 -1.32299135069097e-06 -3.41256730545967e-06 -4.3298799302599e-07 2.87248141366945e-06 -6.26223893104103e-07 -4.43056883929522e-06 5.45428383125526e-06 9.82547146781414e-07 -5.90808929564164e-06
-281.947106467337 -5.14653884535987e-06 2.57376371588441e-07 -1.52186954070841e-06 -1.26067611784835e-06 -3.88465753010489e-06 -2.97161862755388e-06 1.14176291789582e-06 -3.41752589243905e-07 -3.53033839393874e-06 3.44896233647683e-06 4.58927742924511e-07 -4.26452662336061e-06
-243.645608448838 -4.4880546611631e-06 -3.41144825671768e-07 -1.367944599447e-06 -2.83394273527876e-07 -3.64429699156042e-06 -4.36637965641139e-06 -1.73514635212219e-07 -7.4455833739276e-08 -2.34406398954317e-06 1.49357142319751e-06 -6.23457751078953e-07 -2.57730286042517e-06
-210.594081205922 -3.52210942053953e-06 -7.08250647595531e-07 -1.16017587297448e-06 1.08155256676499e-06 -2.65611335821987e-06 -4.7859703495503e-06 -9.06801545080283e-07 7.49596235407307e-08 -1.24444836105879e-06 5.85337637755684e-08 -1.52607808952377e-06 -1.1429530277948e-06
-182.058765875717 -2.50676577582793e-06 -9.41064737488828e-07 -9.14394767978233e-07 2.37665505182448e-06 -1.2685486298503e-06 -4.33530383141099e-06 -1.37930115615154e-06 1.52321394544733e-07 -1.77479620438576e-07 -1.12662979304447e-06 -2.0879664390435e-06 -3.48236956824015e-07
-157.40766823905 -1.73876775948827e-06 -7.88370592489894e-07 -8.98157968528467e-07 3.5636109773591e-06 -2.99482335202591e-08 -3.61307442287117e-06 -1.61690575931441e-06 2.12725656720941e-07 5.49746116574535e-07 -1.61282416157202e-06 -2.19282233077932e-06 -2.73304049138569e-07
-136.096377293567 -1.36726760372508e-06 -3.77659571371438e-07 -6.66484862245598e-07 4.81786038605862e-06 8.5354612093537e-07 -3.11102194162928e-06 -1.64957042561186e-06 1.05180683208105e-07 9.47683140511528e-07 -1.80971882334121e-06 -2.10562368971047e-06 -8.01195449744761e-07
-117.655755800679 -9.90930999654881e-07 -6.44348164911989e-07 -7.22087311628549e-07 6.24628899113366e-06 1.36177453636515e-06 -2.99798839660003e-06 -1.49259873808794e-06 -1.78789227424438e-07 9.93642019600854e-07 -1.60311684591721e-06 -1.89830024132692e-06 -1.19523698537842e-06
