"DOY" "Depth" "TIN"
206 231.6 4.84
206 108.1 0.03
206 117.5 0.13
206 137.5 1.51
206 153.4 2.15
206 164.7 1.21
206 181.6 2.22
206 207.8 3.14
351 10.1 0.02
351 84.8 0.02
351 97.6 0.09
351 103.7 0.39
351 150.5 1.96
351 174.2 2.92
351 223.7 5.52
352 118.8 0.49
352 129.9 0.75
352 139.3 1.35
352 166.3 2.35
352 191.8 3.28
352 241.2 6.01
352 27 0.02
352 96.2 0.01
352 106.2 0.05
352 116.6 0.29
352 128 1.7
34 119.4 0.54
34 138.4 0.89
34 209.2 3.4
34 243.4 5.22
34 118.2 0.03
34 128.5 0.06
34 139 1.04
34 154.8 1.41
34 182.3 2.22
34 209.8 4.37
34 229.1 6.7
65 117.6 0.06
65 126.5 0.25
65 139.2 0.65
65 153.9 1.49
65 203.7 3.98
66 171.7 2.78
67 72.9 0.06
67 101.7 0.23
67 124.6 0.69
67 139.5 1.35
67 147.6 2.81
67 156 2.15
67 179.9 2.18
99 92.1 0.03
99 108.3 0.13
99 163.7 1.21
99 187 2.22
99 245.7 4.07
100 230.6 4.79
100 88.9 0.1
100 98.6 0.14
100 108.2 0.6
100 119.6 0.79
100 130.3 1.21
100 157.1 2.04
100 181.3 2.34
100 209.7 3.12
128 148 0.14
128 207.6 3.55
128 230.6 4.81
128 215.4 3.97
128 241.5 5.62
128 18.3 0.03
128 26.4 0.03
128 165.4 0.44
128 188.5 2.02
155 104.4 0.03
155 152.4 1.13
155 157 1.44
155 226.7 3.81
156 232 4.7
156 16.2 0.03
156 120.2 0.03
156 130.2 0.13
156 139 0.27
156 169.5 1.52
156 194.1 1.98
156 210 3.2
190 110.1 0.03
190 143.4 0.35
190 186 1.3
190 244.2 4.62
191 215.8 2.59
191 230.5 3.47
191 43.2 0.03
191 115.1 0.1
191 127.4 0.15
191 135.8 0.43
191 150.6 0.45
191 180 1.05
191 205.8 2.84
221 71.8 0.02
221 142.2 0.52
221 160.4 0.68
221 181.9 1.23
221 214.6 2.47
222 229.3 2.97
222 75.7 0.02
222 117.7 0.02
222 129.6 0.07
222 139.3 0.19
222 153.1 0.55
222 181.1 1.11
222 208.5 2.12
260 201.8 1.71
260 144.6 0.33
260 202.3 2.03
261 230.6 2.93
261 121.8 0.02
261 131.5 0.25
261 141.7 0.37
261 158.7 0.75
261 176.2 1.14
261 199.9 1.89
294 112.3 0.08
294 129.1 0.23
294 159.8 0.57
294 218.9 4.78
294 224.7 4.78
294 249.1 7.66
294 103.9 0.05
294 114.6 0.2
294 124.7 0.34
294 135.1 0.47
294 150.5 0.13
294 199.6 2.53
294 226.4 4.97
294 250 7.91
339 50.3 0.01
339 200.7 3.49
339 53.8 0.01
339 67.8 0.01
339 97.4 0.02
339 108.9 0.13
339 130.3 0.39
339 145.4 0.9
339 207.9 3.91
340 224.4 5.06
340 249 7.33
340 99.2 0.02
340 105.3 0.13
340 115.8 0.44
340 126.5 0.45
340 137.6 0.74
340 153.7 1.66
340 178 2.91
340 201.7 4.36
340 45.7 0.01
340 75.4 0.01
340 88.6 0.01
45 115.1 0.44
45 131.9 0.68
45 200.2 1.1
45 239.1 1.5
46 229.6 1.95
46 138 0.62
46 153.1 0.77
46 177 0.96
46 204.8 1.13
46 85 0.01
46 92.5 0.01
160 19.4 0.03
160 113.9 0.04
161 48.1 0.01
161 80.2 0.01
161 87.2 0.01
161 119.2 0.07
161 126.4 0.39
161 174.9 2.61
161 203.3 6.23
161 226.7 7.77
161 4.6 0.02
161 24.7 0.01
161 34.6 0.01
161 44.8 0.01
161 59.6 0.01
161 103.9 0.01
161 113.4 0.28
161 124.5 0.53
161 135.9 0.68
161 148.3 1.7
161 175.1 3.57
