"DOY" "Depth" "TIN"
31 173.8 3.35
31 200 3.77
31 248.5 5.075
31 0 0.53
31 4.8 0.385
31 15.1 0.34
31 24.7 0.355
31 34.7 0.415
31 45 0.43
31 49.9 0.47
31 64.2 0.645
31 69.8 0.61
31 80.1 0.645
31 90.4 0.725
31 100.1 0.79
31 125 1.495
31 150.3 2.93
31 174.9 3.585
31 200 4.375
31 224.7 4.71
31 249.9 5.695
33 0 0.185
33 5 0.125
33 14.7 0.12
33 19.7 0.135
33 30.4 0.145
33 39.3 0.175
33 50.5 0.24
33 60.4 0.28
33 70.3 0.26
33 85.4 0.355
33 91.2 0.405
33 99 0.575
33 124 0.715
33 150.9 0.79
33 175.4 2.66
33 200 3.325
33 226.4 3.935
33 250 4.49
39 0 0.63
39 5.6 0.52
39 15.6 0.51
39 19.7 0.595
39 30.9 0.51
39 40.7 0.59
39 50.3 0.615
39 59.7 0.615
39 70.4 0.645
39 84.4 1.065
39 89.8 1.21
39 100.4 2.71
39 125.9 2.895
39 149.9 3.455
39 175.1 3.765
39 200 4.505
39 225.2 4.81
40 0 1.05
40 5.1 1.025
40 10.4 1.015
40 19.9 1.07
40 30.3 1
40 39.9 1.03
40 49.9 1.015
40 60.5 1.025
40 70.2 1.02
40 80.9 1.03
40 89.5 1.05
40 100.3 1.09
40 125.3 1.015
40 150.3 1.265
40 175 3.445
40 200 4.12
40 224.3 4.965
41 0 0.76
41 9.9 0.735
41 20 0.74
41 30.1 0.775
41 49 0.735
41 74.3 0.8
41 99 0.76
41 124.4 0.775
41 148.5 1.16
41 173.8 1.875
41 200 3.795
41 248.3 5.21
41 0 0.33
41 5.7 0.265
41 10.1 0.29
41 20.2 0.265
41 34.8 0.31
41 40 0.39
41 50 0.57
41 60.1 0.485
41 70.8 0.905
41 80 1.58
41 94.9 2.75
41 100.9 2.87
41 125.3 3.45
41 150.3 3.87
41 175 4.165
41 200 4.385
41 225.6 5.02
258 0 0.03
258 12 0
258 27 0
258 52 0
258 77 0.06
258 77 0.1
258 102 1.7
258 126 2.15
258 149 3.1
258 200 3.49
258 250 3.68
52 0 0.96
52 10 0.96
52 26 0.93
52 51 0.98
52 77 1.15
52 100 1.21
52 127 2.01
52 150 2.33
52 200 5.22
52 249 7.18
52 249 7.17
347 0 0.07
347 12 0.02
347 27 0.09
347 52 0.11
347 78 0.11
347 103 0.37
347 127 2.71
347 152 3.88
347 200 4.44
341 0 0
341 11 0
341 26 0
341 50 0
341 76 0
341 100 0.24
341 126 1.08
341 152 0.64
341 200 2.97
278 0 0.04
278 13 0.02
278 28 0.02
278 52 0
278 76 0.02
278 102 0.01
278 127 0.11
278 153 1.04
278 200 3.96
343 0 0
343 12 0
343 27 0
343 52 0
343 76 0
343 102 0.63
343 127 2
343 151 3.04
343 200 3.65
191 0 0.03
191 11 0
191 26 0
191 51 0
191 77 0.16
191 102 3.13
191 127 3.64
191 150 3.83
191 200 4.14
119 0 0.1
119 11 0.11
119 26 0.08
119 50 1.13
119 75 2.25
119 101 2.38
119 126 2.36
119 150 2.5
119 200 2.37
119 250 2.6
195 0 0.175
195 10.1 0.075
195 20.2 0.07
195 29.8 0.055
195 49.6 0.05
195 74.8 0.05
195 99.3 0.085
195 123.8 0.565
195 149.3 1.345
195 174.1 1.64
195 200 1.835
195 249.1 2.075
195 0 0.185
195 7.9 0.07
195 21 0.075
195 34.8 0.065
195 39.9 0.065
195 45.2 0.07
195 55.1 0.06
195 60.4 0.065
195 64.8 0.07
195 71 0.08
195 81.2 0.2
195 99.9 1.105
195 125 1.525
195 150.9 0.615
195 175.4 1.3
195 200 2.24
195 224.5 2.165
197 0 0.09
197 6.3 0.065
197 10.7 0.085
197 19.9 0.065
197 40.2 0.075
197 59.7 0.08
197 79.5 0.085
197 99.6 0.535
197 120.3 1.245
197 139.4 1.49
197 159.8 1.645
197 179.7 1.765
197 200 1.8
197 248.2 2.095
71 0 0.42
71 11 0.47
71 26 0.45
71 50 0.47
71 76 1.58
71 101 2.09
71 125 2.41
71 149 2.27
71 200 2.35
71 250 2.39
119 0 0.02
119 12 0.02
119 27 0
119 52 0
119 77 0.39
119 102 2.06
119 124 2.31
119 151 2.44
119 200 2.82
104 4 0.05
104 24 0.06
104 50 0.24
104 73 0.53
104 99 2.01
104 148 2.68
104 200 2.59
104 248 2.98
15 1.25 0.414575263857841
15 5 0.392426289618015
15 10 0.388745725154877
15 15 0.442955702543259
15 20 0.438447095453739
15 25 0.455735251307487
15 30 0.462118670344353
15 35 0.48186020553112
15 40 0.489040851593018
15 45 0.496122322976589
15 50 0.505946174263954
15 55 0.511020250618458
15 60 0.515984833240509
15 65 0.501401945948601
15 70 0.500068485736847
15 75 0.495570525527
15 80 0.510037370026112
15 85 0.544255934655666
15 90 0.575771622359753
15 95 0.604034289717674
15 105 0.840655893087387
15 125 1.22141198813915
15 150 1.61389872431755
15 175 2.67072355747223
15 200 3.6426762342453
15 225 4.27814638614655
15 250 4.59618842601776
45 1.25 3.04221642017365
45 5 3.13059514760971
45 10 2.66234701871872
45 15 2.36988705396652
45 20 2.16203504800797
45 25 2.66562539339066
45 30 2.91896402835846
45 35 2.79060107469559
45 40 2.596774995327
45 45 2.35527002811432
45 50 2.17879039049149
45 55 2.44837117195129
45 60 2.12834799289703
45 65 1.75146135687828
45 70 1.42058151960373
45 75 1.4943568110466
45 80 1.73129007220268
45 85 1.83539488911629
45 90 1.89889547228813
45 95 2.27800989151001
45 105 2.97435808181763
45 125 2.88801068067551
45 150 3.13738667964935
45 175 4.23308992385864
45 200 7.65406334400177
45 225 9.64900207519531
45 250 11.157696723938
75 1.25 0.645478159189224
75 5 0.619917742908001
75 10 0.592949293553829
75 15 0.594318777322769
75 20 0.601374335587025
75 25 0.600426539778709
75 30 0.683972775936127
75 35 0.706632733345032
75 40 0.715552523732185
75 45 0.716351598501205
75 50 0.723366245627403
75 55 0.722297683358192
75 60 0.729696527123451
75 65 0.741411864757538
75 70 0.764208674430847
75 75 0.76140969991684
75 80 0.814659312367439
75 85 0.797338292002678
75 90 0.814213812351227
75 95 0.832920268177986
75 105 0.808484569191933
75 125 1.50214970111847
75 150 1.61693644523621
75 175 2.24659249186516
75 200 2.95703917741776
75 225 3.45262598991394
75 250 4.04428988695145
105 1.25 0.0555260824039578
105 5 0.0552333099767566
105 10 0.0578877627849579
105 15 0.0694241430610418
105 20 0.0857646036893129
105 25 0.11723356321454
105 30 0.145628582686186
105 35 0.237127311527729
105 40 0.327103730291128
105 45 0.416221849620342
105 50 0.464723847806454
105 55 0.637658923864365
105 60 0.849480375647545
105 65 1.06722863018513
105 70 1.24553632736206
105 75 1.09406812489033
105 80 1.25880235433578
105 85 1.39930438995361
105 90 1.54729980230331
105 95 1.6755753159523
105 105 1.75700542330742
105 125 2.23544311523438
105 150 2.54478085041046
105 175 3.00488013029099
105 200 3.37884926795959
105 225 4.05993849039078
105 250 4.69127511978149
135 1.25 0.00138675017660717
135 5 0.000566056856769137
135 10 0.00267925095977262
135 15 0.0032903469982557
135 20 0.00425123749300838
135 25 0.00358994959970005
135 30 0.00644334632670507
135 35 0.00813300936715677
135 40 0.0135872992104851
135 45 0.0234059004578739
135 50 0.0778715396299958
135 55 0.244345143437386
135 60 0.418206736445427
135 65 0.603347629308701
135 70 0.783754870295525
135 75 0.892609849572182
135 80 0.993650078773499
135 85 1.11193369328976
135 90 1.23020032048225
135 95 1.34900200366974
135 105 1.4823999106884
135 125 1.88169091939926
135 150 2.29852974414825
135 175 2.57564693689346
135 200 3.10488283634186
135 225 3.64827179908752
135 250 4.17774617671967
165 1.25 0.0483664143830538
