"DOY" "Depth" "SIZE10" "SIZE3" "SIZE1" "SIZE_L1"
179 11.8 0 0.01 0.03 0.04
179 33 0 0.02 0.04 0.05
179 40 0.01 0.02 0.03 0.06
179 53 0.01 0.02 0.01 0.12
179 57.2 0.01 0.04 0.07 0.15
179 66.6 0.03 0.07 0.15 0.27
182 31.1 0.01 0.02 0.02 0.07
182 50 0.01 0.02 0.06 0.08
182 84.7 0.02 0.03 0.13 0.11
182 99.9 0.01 0.02 0.05 0.02
182 120.1 0 0.01 0.01 0.01
182 150.2 0 0 0 0
182 7.1 0 0.01 0.03 0.04
182 17.8 0 0.02 0.01 0.04
182 36.2 0 0.02 0.01 0.04
182 43 0.01 0.02 0.02 0.05
182 55.6 0.02 0.05 0.11 0.2
182 60 0.03 0.05 0.09 0.21
182 73.8 0.03 0.06 0.12 0.17
182 84.7 0.04 0.04 0.05 0.1
182 59.5 0.05 0.09 0.15 0.31
182 6.6 0 0.02 0.02 0.08
