"Depth" "M1" "M2" "M3" "M4" "M5" "M6" "M7" "M8" "M9" "M10" "M11" "M12" "M13" "M14" "M15" "M16" "M17" "M18" "M19" "M20" "M21" "M22" "M23" "M24" "M25" "M26" "M27" "M28" "M29" "M30" "M31" "M32" "M33" "M34" "M35" "M36"
-1435.86906752542 -2.23371116589988e-05 2.53030812018551e-05 -1.8805064883054e-06 -2.99695784633514e-05 -7.88486795499921e-06 5.17593070981093e-06 1.40756276323373e-06 -1.83318625204265e-05 -3.38362042384688e-05 -1.95840566448169e-05 1.42756853165338e-05 1.41951204568613e-05 4.28352080916738e-07 -6.84450424159877e-06 -8.34925344861404e-07 -1.25860697153257e-06 -5.91351590628619e-06 8.09361063147662e-06 8.40853681438603e-06 -6.03048647462856e-06 -7.35558387532365e-06 -1.47728667343472e-06 2.69072461378528e-05 3.16659679810982e-05 1.33811972773401e-05 3.01469535770593e-05 6.45160889689578e-06 -8.73500994202914e-06 2.26178926823195e-05 -2.32317725021858e-05 -2.06630757020321e-05 1.3529460375139e-05 -4.61200979771093e-05 3.3117707062047e-05 -8.88915383256972e-06 2.5813687898335e-06
-1338.60751878969 -1.99324367713416e-05 1.83188294613501e-05 -5.01051863466273e-06 -2.87065486190841e-05 -5.49598507859628e-06 4.24814697908005e-06 1.51125834690902e-06 -1.98156030819518e-05 -3.21216793963686e-05 -1.79811613634229e-05 1.42251656143344e-05 1.05144208646379e-05 -1.4214998600437e-06 -1.17841227620374e-05 -5.24730057804845e-06 -1.40752604238514e-06 -5.38749463885324e-06 6.98942540111602e-06 5.31168598172371e-06 -5.77913397137308e-06 -8.01349506218685e-06 -2.07488778869447e-06 2.29568413487868e-05 2.84095458482625e-05 1.19031265057856e-05 3.15284123644233e-05 7.50996423448669e-06 -7.24036272004014e-06 2.45411974901799e-05 -2.27077998715686e-05 -1.82949042937253e-05 1.58303409989458e-05 -4.65666889795102e-05 3.38442914653569e-05 -9.15188866201788e-06 6.19048705630121e-07
-1233.84007479307 -1.79402813955676e-05 1.48155577335274e-05 -6.01811052547419e-06 -2.7887163014384e-05 -6.31300417808234e-06 1.23659538076026e-06 1.31877607145725e-06 -2.04253701667767e-05 -3.31457449647132e-05 -1.8618588001118e-05 1.21384000522085e-05 7.41990243113833e-06 -2.58344357462192e-06 -1.51507210830459e-05 -9.56928670348134e-06 -3.23527297041437e-06 -8.13108817965258e-06 3.27026123159158e-06 1.92728566617006e-06 -8.90994851943105e-06 -8.60806358105037e-06 -5.00653823110042e-06 1.83585507329553e-05 2.35791922023054e-05 1.16106521090842e-05 3.14678145514335e-05 1.04706778074615e-05 -5.49570040675462e-06 2.61461736954516e-05 -2.0581484932336e-05 -1.67953458003467e-05 1.68206006492255e-05 -4.72658284706995e-05 3.47473287547473e-05 -8.81028609001078e-06 -1.16060016353003e-06
-1121.41580611846 -1.94685508176917e-05 1.30178823383176e-05 -1.09200846054591e-05 -2.41782290686388e-05 -5.83570226808661e-06 2.72123031663796e-07 -2.34666686083074e-06 -2.19705689232796e-05 -3.16779296554159e-05 -1.96993241843302e-05 9.36018750508083e-06 4.95237054565223e-06 -5.57711655346793e-06 -1.81989998964127e-05 -1.27386829262832e-05 -8.40724896988831e-06 -1.33516377900378e-05 -2.84405359707307e-06 -2.98275222121447e-06 -1.04774589999579e-05 -1.1765277122322e-05 -6.17500245425617e-06 1.35256032081088e-05 1.9451788830338e-05 9.33377486944664e-06 3.02134194498649e-05 1.20066288218368e-05 -3.12404245050857e-06 2.71561821136856e-05 -1.7946364096133e-05 -1.24699408843298e-05 1.74451888597105e-05 -4.5229637180455e-05 3.56968848791439e-05 -8.84506971488008e-06 -4.45569412477198e-06
-1002.61275465846 -2.35927836911287e-05 1.09299298856058e-05 -1.1353306035744e-05 -2.51463552558562e-05 -3.14386875288619e-06 1.77810932200373e-06 -7.49006221667514e-06 -2.42293626797618e-05 -3.13471391564235e-05 -2.20007204916328e-05 4.84612382933847e-06 2.17935007640335e-06 -1.01820123745711e-05 -2.04134612431517e-05 -1.53386481542839e-05 -1.43631596074556e-05 -1.79399212356657e-05 -5.21623496751999e-06 -3.14788030664204e-06 -9.29064390220447e-06 -8.11161498859292e-06 -6.464032594522e-06 1.0659493455023e-05 1.23760164569831e-05 4.84344627693645e-06 2.71257995336782e-05 1.41665423143422e-05 5.38480868783608e-08 2.79969608527608e-05 -1.54460249177646e-05 -9.47655644267797e-06 1.85374865395715e-05 -4.25448561145458e-05 3.30193724948913e-05 -7.20788784747128e-06 -7.27559745428152e-06
-880.165994354229 -2.6911484383163e-05 5.30439046997344e-06 -1.40292422656785e-05 -2.27417458518175e-05 1.05231868019473e-06 2.72035549642169e-06 -7.34648756406386e-06 -2.49251534114592e-05 -3.26078006764874e-05 -2.26034335355507e-05 -1.30449336666061e-06 -6.99219469879608e-07 -1.30988928503939e-05 -1.9118502677884e-05 -1.18906227726256e-05 -1.32608929561684e-05 -1.6471112758154e-05 -4.40149551650393e-06 -3.09131814901775e-06 -5.51191669728723e-06 -5.39330812898697e-06 -2.39179348682228e-06 1.37710176204564e-05 1.14897502498934e-05 6.38202664049459e-07 2.49232525675325e-05 1.37825118144974e-05 3.74261799152009e-06 2.92080676445039e-05 -1.39417625177884e-05 -8.51941786095267e-06 2.00468675757293e-05 -4.02368568757083e-05 3.31257724610623e-05 -6.12424992141314e-06 -6.56655311104259e-06
-757.933570986334 -2.65080743702129e-05 2.96865346172126e-06 -1.69595568877412e-05 -2.31303765758639e-05 1.43609963743074e-06 1.27677981254237e-06 -5.31579962625983e-06 -2.03228573809611e-05 -2.93167649942916e-05 -2.12020786420908e-05 -3.24248298966268e-06 -6.4872756411205e-06 -1.13496726044104e-05 -1.25435099107563e-05 -7.44878070690902e-06 -8.79877006809693e-06 -1.22943874885095e-05 -4.41306337961578e-06 -3.60839339919039e-06 -3.68087853530596e-06 -5.74657997276518e-06 1.47873413425259e-06 1.57475988089573e-05 1.28581223179935e-05 4.13861744164024e-06 2.50165285251569e-05 1.42463022712036e-05 7.41822896088706e-06 3.05808571283706e-05 -1.14972899609711e-05 -5.00850910611916e-06 1.97374411072815e-05 -3.91144640161656e-05 3.39232392434496e-05 -5.24923643752118e-06 -6.40643384031137e-06
-640.22826196883 -2.4601346012787e-05 1.49570905705332e-06 -1.41138798426255e-05 -2.16278349398635e-05 1.47608727729676e-06 3.40567908097e-06 -6.48025343252812e-06 -1.43777433549985e-05 -2.02889641514048e-05 -1.55081033881288e-05 -7.83044015406631e-06 -7.94165498518851e-06 -1.01467576314462e-05 -7.2567313509353e-06 -1.44336547691637e-06 -2.73625391855603e-06 -9.92914101516362e-06 -3.45076932717348e-06 -1.77974516191171e-06 -2.42447708842519e-06 -2.3316322312894e-06 7.5384432420833e-06 1.78718528331956e-05 1.47736282087862e-05 8.33374815556454e-06 2.63704823737498e-05 1.77688471012516e-05 1.0009315701609e-05 2.93934863293543e-05 -9.10851395019563e-06 -4.58165732197813e-06 1.80318111233646e-05 -3.43932588293683e-05 2.88559203909244e-05 -6.20544187768246e-06 -5.60829084861325e-06
-531.014885841567 -1.99794048967306e-05 -5.08218045069952e-06 -1.08388685475802e-05 -1.87772984645562e-05 -1.85453393442003e-06 4.83241046822513e-06 -1.40500287670875e-06 -1.18362177090603e-05 -1.37814413392334e-05 -1.27174271256081e-05 -9.81552602752345e-06 -1.18182097139652e-05 -7.05144657331402e-06 -3.78852996618662e-06 2.23477127292426e-06 -1.14499005121615e-06 -7.60969805924105e-06 -8.11438383152563e-07 2.24937437565131e-07 1.81060181603243e-06 3.0171281650837e-06 1.04660775832599e-05 1.89569564099656e-05 1.64636912813876e-05 1.19935284601524e-05 2.68104649876477e-05 1.8556384020485e-05 9.39023811952211e-06 2.82493656413862e-05 -5.97527014178922e-06 -4.65797620563535e-06 1.52288039316772e-05 -3.04394397971919e-05 2.72350280283717e-05 -3.51466724168858e-06 -5.67924416827736e-06
-433.244846327212 -1.98741981876083e-05 -3.21651532431133e-06 -9.69722896115854e-06 -1.94096373888897e-05 -2.9189150154707e-06 4.68804137199186e-06 -5.51339780940907e-07 -5.56460736333975e-06 -1.00900706456741e-05 -9.3043072411092e-06 -1.17097079055384e-05 -1.30809221445816e-05 -3.04354011859687e-06 2.16931152863253e-06 6.02677528149798e-06 -2.11275263950483e-07 -5.54622192794341e-06 -1.38551143891164e-07 1.31614763176913e-06 3.18182469527528e-06 4.15054910263279e-06 1.23527024697978e-05 1.8017668480752e-05 1.4490000467049e-05 1.25978431242402e-05 2.63004822045332e-05 2.13835846807342e-05 8.57864233694272e-06 2.30196910706582e-05 -3.08132462123467e-06 -5.56889790459536e-06 1.14828008008772e-05 -2.61189106822712e-05 2.08328874578001e-05 -5.35468961970764e-06 -8.92584466782864e-06
