Cruise,Station,Date,Longitude,Latitude,Bottm depth [m],Pressure,Depth,Temp,Salinity-CTD,Theta,Sigma_Theta,Salinity-Bottle,DO [~$m~#mol/kg],Silicate [~$m~#mol/kg],1Silicate [~$m~#mol/kg],Nitrate,Nitrate1,Nitrite,Nitrite1,Phosphate [~$m~#mol/kg],1Phosphate [~$m~#mol/kg],NH4,NH41,TA [~$m~#mol/kg],1TA [~$m~#mol/kg],pHt (25C),1pHt (25C),DIC [~$m~#mol/kg],1DIC [~$m~#mol/kg],CHLWEL,CHLWEL1,CHLHOL [~$m~#g/l],1CHLHOL [~$m~#g/l],SIZECHL [~$m~#g/l],1SIZECHL [~$m~#g/l],2SIZECHL [~$m~#g/l],TDIN [mmol/m3]
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,0,0.0,11.6,-9,11.6,24.8084,32.6109,290.87,26.88,0.14,14,0.05,0.18,0.01,1.383,0.005,-9,-9,2214,2212.7,7.821,7.821,2043.2,2041.5,0.48,0.5,0.48,0.5,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,10.4,10.3,9.5473,32.6246,9.5462,25.1719,32.6283,308.61,26.98,0.14,13.97,0.05,0.15,0.01,1.346,0.005,-9,-9,2214.5,-9,7.818,-9,2047,-9,0.41,-9,0.4,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,20.9,20.7,8.7657,32.6739,8.7636,25.3336,32.6555,312.86,26.54,0.13,13.98,0.05,0.16,0.01,1.345,0.005,-9,-9,2215.9,-9,7.818,-9,2045.8,-9,0.44,-9,0.44,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,30.3,30.1,6.8438,32.8044,6.8411,25.7107,32.7868,325.19,28.15,0.14,15.57,0.05,0.18,0.01,1.452,0.005,-9,-9,2223,-9,7.793,-9,2064.3,-9,0.62,-9,0.6,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,49.8,49.4,3.2099,32.9101,3.207,26.1987,32.9111,332.77,35.35,0.15,20.74,0.06,0.26,0.01,1.792,0.006,-9,-9,2226.5,-9,7.68,-9,2109.3,-9,0.86,0.87,0.81,0.81,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,75,74.4,2.393,32.9771,2.389,26.3213,32.9788,328.27,36.74,0.15,22.29,0.06,0.79,0.01,1.868,0.006,-9,-9,2228.6,-9,7.648,-9,2129.2,-9,0.19,-9,0.17,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,100.4,99.6,1.4407,33.0043,1.4362,26.4128,33.0093,330.87,41.82,0.15,24.76,0.06,0.61,0.01,2.009,0.006,-9,-9,2232.7,-9,7.615,-9,2143.9,-9,0.06,-9,0.05,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,125.3,124.2,1.2159,33.0798,1.2104,26.4882,33.0758,314.93,45.07,0.16,26.65,0.06,0.03,0.01,2.093,0.007,-9,-9,2236.9,-9,7.587,7.587,2153.3,-9,0.03,-9,0.02,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,150.7,150.0,2.4437,33.4217,2.4355,26.6731,33.4209,214.79,59.57,0.17,31.59,0.07,0.02,0.01,2.384,0.007,-9,-9,2258.2,-9,7.474,-9,2211.5,-9,0.02,-9,0.01,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,175.5,174.0,2.7229,33.5909,2.7128,26.7853,33.5895,144.27,75.23,0.19,37.13,0.08,0.01,0.01,2.742,0.008,-9,-9,2273.9,-9,7.358,-9,2261.6,-9,0.01,-9,0.01,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,200.2,198.5,2.8896,33.6673,2.8778,26.832,33.6676,110.51,82.42,0.2,39.71,0.08,0.02,0.01,2.9,0.008,-9,-9,2279.5,-9,7.305,-9,2285,-9,0.01,-9,0.01,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,249.8,247.6,3.1484,33.7969,3.1329,26.9127,33.796,68.79,92.37,0.21,42.47,0.09,0.02,0.01,3.07,0.009,-9,-9,2292.3,-9,7.249,-9,2314.5,2315.3,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,299.7,297.0,3.3068,33.8948,3.2877,26.9765,33.894,51.18,98.77,0.22,43.14,0.09,0.01,0.01,3.107,0.009,-9,-9,2299.7,-9,7.244,-9,2328.6,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,400.7,397.0,3.4375,34.0401,3.4111,27.0807,34.0391,29.01,109.95,0.24,44.08,0.09,0.01,0.01,3.178,0.009,-9,-9,2319.4,-9,7.237,-9,2350.2,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,499.8,495.0,3.3818,34.1487,3.3486,27.1732,34.1494,22.51,119.5,0.25,44.08,0.09,0.01,0.01,3.171,0.009,-9,-9,2334,2336.1,7.251,-9,2358.8,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,601,595.1,3.2652,34.2191,3.2253,27.241,34.2188,19.51,126.68,0.26,44.17,0.09,0.01,0.01,3.182,0.009,-9,-9,2345.6,-9,7.26,-9,2367.6,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,699.7,692.7,3.1377,34.2834,3.0914,27.3047,34.2834,25.15,131.8,0.26,43.62,0.09,0.01,0.01,3.152,0.009,-9,-9,2355.9,-9,7.286,-9,2367.4,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,802.1,793.9,2.9569,34.3301,2.9042,27.359,34.3279,20.21,139.32,0.27,44.11,0.09,0.01,0.01,3.184,0.009,-9,-9,2363.2,-9,7.282,-9,2375.8,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,900.4,891.0,2.7965,34.3749,2.7377,27.4095,34.3751,16.96,145.97,0.28,44.38,0.09,0.01,0.01,3.199,0.009,-9,-9,2371,-9,7.281,-9,2384.7,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,1000.6,989.9,2.6211,34.4167,2.5563,27.4587,34.4168,19.61,152.16,0.29,44.3,0.09,0.01,0.01,3.191,0.009,-9,-9,2380.3,-9,7.289,-9,2392.3,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,1198,1184.7,2.3596,34.4788,2.2824,27.5313,34.4785,27.83,159.84,0.3,43.9,0.09,0.01,0.01,3.156,0.009,-9,-9,2390.5,-9,7.312,-9,2391.5,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,1401.1,1384.8,2.1867,34.5192,2.096,27.5788,34.5189,40.13,162.99,0.3,43.13,0.09,0.01,0.01,3.103,0.009,-9,-9,2396.9,-9,7.342,-9,2387.9,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,1602.1,1582.8,2.0517,34.5543,1.947,27.6188,34.5539,51.85,164.22,0.3,42.51,0.09,0.01,0.01,3.051,0.009,-9,-9,2401,-9,7.366,-9,2386.2,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,1800,1777.4,1.9237,34.5828,1.8049,27.6526,34.5827,63.36,165.69,0.3,41.73,0.09,0.01,0.01,2.994,0.009,-9,-9,2405.6,-9,7.392,-9,2381.3,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,2000.8,1974.8,1.8126,34.6065,1.679,27.6811,34.6061,76.86,164.99,0.3,40.93,0.08,0,0.01,2.925,0.008,-9,-9,2407.9,-9,7.42,-9,2373.4,2375,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,2200.3,2170.7,1.7265,34.624,1.5775,27.7027,34.6245,89.35,163.78,0.3,40.14,0.08,0.01,0.01,2.867,0.008,-9,-9,2410.5,-9,7.445,-9,2367.9,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,2401.7,2368.2,1.6614,34.6383,1.4962,27.7202,34.6383,102.46,160.18,0.3,39.36,0.08,0.01,0.01,2.804,0.008,-9,-9,2412.9,2410.5,7.473,7.473,2359.7,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,2599.8,2562.3,1.6059,34.6486,1.4241,27.7337,34.6491,112.07,157.95,0.29,38.76,0.08,0.01,0.01,2.755,0.008,-9,-9,2413.2,-9,7.492,-9,2353.7,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,2800.8,2759.2,1.5592,34.6575,1.3599,27.7454,34.6578,121.23,155.58,0.29,38.21,0.08,0.01,0.01,2.708,0.008,-9,-9,2413.4,-9,7.511,-9,2347.6,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,3000.3,2954.3,1.5242,34.664,1.3069,27.7544,34.6641,128.46,153.81,0.29,37.78,0.08,0,0.01,2.672,0.008,-9,-9,2414,-9,7.521,-9,2343.6,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,3500.4,3442.9,1.4725,34.6756,1.207,27.7706,34.6755,141.53,150.27,0.28,36.93,0.08,0.01,0.01,2.601,0.008,-9,-9,2412.1,-9,7.545,-9,2333.8,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,4001,3930.7,1.4637,34.6822,1.1457,27.7802,34.6815,149.46,148.11,0.28,36.39,0.08,0.01,0.01,2.559,0.008,-9,-9,2410.6,-9,7.559,-9,2329.6,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,4499.7,4415.7,1.4779,34.6865,1.1037,27.7865,34.687,154.84,147.55,0.28,36.13,0.08,0.01,0.01,2.537,0.008,-9,-9,2411.5,-9,7.569,-9,2325.6,2323.5,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,4999.8,4901.0,1.5209,34.6886,1.086,27.7894,34.6885,156.75,148.21,0.28,35.91,0.08,0.01,0.01,2.523,0.008,-9,-9,2411.9,-9,7.573,-9,2322.9,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_01,07/22/2013,160.005,47.002,5181.2,5278.7,5171.1,1.5457,34.6899,1.0755,27.7911,34.6898,157.92,148.62,0.28,35.86,0.08,0.01,0.01,2.521,0.008,-9,-9,2410.5,-9,7.575,-9,2318,-9,-9,-9,-9,-9,-9,-9,-9,
MR13-04,K02_02,07/22/2013,160.0062,47.0025,5188,0,0.0,10.8,-9,10.8,24.9678,32.6323,295.82,27.22,0.14,14.26,0.05,0.18,0.01,1.387,0.005,0.3,0.03,2213.5,-9,7.819,-9,2046.8,-9,0.43,-9,0.42,-9,0.1,0.07,0.09,16.17244359
MR13-04,K02_02,07/22/2013,160.0062,47.0025,5188,5.3,5.2,11.1627,32.6168,11.1621,24.8914,32.6225,294.93,26.76,0.14,14.16,0.05,0.18,0.01,1.372,0.005,0.27,0.03,2211.9,2210,7.819,-9,2043.5,-9,0.4,0.4,0.4,0.4,-9,-9,-9,16.03450852
MR13-04,K02_02,07/22/2013,160.0062,47.0025,5188,10.1,10.0,9.5649,32.6492,9.5638,25.1883,32.6396,308.13,25.97,0.13,13.99,0.05,0.17,0.01,1.357,0.005,0.26,0.03,2212.9,-9,7.823,-9,2042.3,2045.9,0.4,-9,0.41,-9,-9,-9,-9,15.81789325
MR13-04,K02_02,07/22/2013,160.0062,47.0025,5188,14.8,14.7,9.0373,32.656,9.0358,25.2775,32.6606,315.67,25.1,0.13,13.83,0.05,0.16,0.01,1.343,0.005,0.23,0.03,2213.8,-9,7.825,-9,2046,-9,0.45,-9,0.45,-9,0.13,0.09,0.11,15.58871932
MR13-04,K02_02,07/22/2013,160.0062,47.0025,5188,20.3,20.1,8.6187,32.6898,8.6166,25.3684,32.7112,318.72,24.94,0.13,13.91,0.05,0.17,0.01,1.349,0.005,0.23,0.03,2218,-9,7.821,7.827,2051.7,-9,0.42,-9,0.4,-9,-9,-9,-9,15.66370603
MR13-04,K02_02,07/22/2013,160.0062,47.0025,5188,25.6,25.4,7.8154,32.7715,7.813,25.5509,32.7741,320.75,24.1,0.13,13.93,0.05,0.17,0.01,1.352,0.005,0.22,0.03,2221.3,-9,7.818,-9,2054.2,-9,0.43,-9,0.42,-9,-9,-9,-9,15.64530213
MR13-04,K02_02,07/22/2013,160.0062,47.0025,5188,31.1,30.8,7.0961,32.7942,7.0933,25.6689,32.7919,325.41,24.2,0.13,14.34,0.05,0.18,0.01,1.376,0.005,0.22,0.03,2221.4,-9,7.81,-9,2060.1,-9,0.5,-9,0.48,-9,-9,-9,-9,16.09564448
MR13-04,K02_02,07/22/2013,160.0062,47.0025,5188,35.8,35.5,5.2046,32.853,5.2019,25.9507,32.8577,332.31,31.07,0.14,17.89,0.05,0.2,0.01,1.614,0.005,0.65,0.03,2223.6,-9,7.746,-9,2086.1,-9,0.38,0.38,0.37,0.38,-9,-9,-9,20.42354735
MR13-04,K02_02,07/22/2013,160.0062,47.0025,5188,40.7,40.4,4.1146,32.8808,4.1119,26.0894,32.8862,334.99,33.44,0.14,19.4,0.05,0.21,0.01,1.717,0.006,0.77,0.03,2224.7,-9,7.714,-9,2100.8,-9,0.45,-9,0.44,-9,-9,-9,-9,22.19210272
MR13-04,K02_02,07/22/2013,160.0062,47.0025,5188,50.8,50.3,3.3303,32.9124,3.3272,26.1897,32.9195,332.2,35.08,0.14,20.66,0.06,0.27,0.01,1.799,0.006,0.86,0.03,2226.7,-9,7.688,-9,2114.9,-9,0.57,-9,0.54,-9,0.1,0.09,0.22,23.70406002
MR13-04,K02_02,07/22/2013,160.0062,47.0025,5188,75.5,74.8,2.3092,32.955,2.3053,26.3102,32.9551,330.53,38,0.15,22.29,0.06,0.77,0.01,1.906,0.006,0.52,0.03,2227.3,-9,7.651,-9,2127.1,-9,0.24,-9,0.2,-9,0.04,0.06,0.08,25.62426513
MR13-04,K02_02,07/22/2013,160.0062,47.0025,5188,101.1,100.2,1.5358,32.9961,1.5312,26.3998,32.9982,331.38,41.29,0.15,24.47,0.06,0.77,0.01,2.009,0.006,0.01,0.03,2230.4,-9,7.625,-9,2138.8,-9,0.09,-9,0.07,-9,0.02,0.02,0.03,27.40408613
MR13-04,K02_02,07/22/2013,160.0062,47.0025,5188,126.3,125.2,1.218,33.036,1.2125,26.4529,33.0369,325.96,42.88,0.15,25.78,0.06,0.07,0.01,2.053,0.006,-0.01,0.03,2233.5,-9,7.607,-9,2149.7,-9,0.04,-9,0.03,-9,0.01,0.02,0.01,28.01237482
MR13-04,K02_02,07/22/2013,160.0062,47.0025,5188,151.6,150.0,2.3722,33.38,2.364,26.6455,33.3811,228.11,56.78,0.17,30.45,0.07,0.02,0.01,2.324,0.007,-0.02,0.03,2255,-9,7.497,-9,2205.3,-9,0.02,-9,0.01,-9,-9,-9,-9,32.67794058
MR13-04,K02_02,07/22/2013,160.0062,47.0025,5188,176.8,175.3,2.7347,33.6155,2.7245,26.8039,33.6175,125.49,79.16,0.2,38.69,0.08,0.02,0.01,2.845,0.008,-0.03,0.03,2275.8,-9,7.325,-9,2277.1,-9,0.01,-9,0.01,-9,-9,-9,-9,41.22546153
MR13-04,K02_02,07/22/2013,160.0062,47.0025,5188,202.8,201.0,2.937,33.6866,2.9249,26.8433,33.6873,104.04,83.66,0.2,39.92,0.08,0.02,0.01,2.92,0.008,-0.01,0.03,2281.3,-9,7.299,-9,2289.1,-9,0.01,-9,0.01,-9,-9,-9,-9,42.47174964
MR13-04,K02_02,07/22/2013,160.0062,47.0025,5188,227.6,225.6,3.0734,33.7434,3.0595,26.8767,33.7445,87.72,87.5,0.21,41.13,0.09,0.02,0.01,2.986,0.009,-0.01,0.03,2286.9,2287.1,7.279,7.279,2303.2,-9,-9,-9,-9,-9,-9,-9,-9,43.68645786
MR13-04,K02_02,07/22/2013,160.0062,47.0025,5188,253.3,251.0,3.124,33.7851,3.1084,26.9055,33.7861,70.6,91.6,0.21,42.35,0.09,0.02,0.01,3.063,0.009,0,0.03,2290.5,-9,7.253,-9,2314.3,2313.6,-9,-9,-9,-9,-9,-9,-9,44.93858529
MR13-04,K02_02,07/22/2013,160.0062,47.0025,5188,302.3,299.6,3.2971,33.8857,3.2779,26.9702,33.8847,54.98,97.72,0.22,42.83,0.09,0.02,0.01,3.091,0.009,-0.01,0.03,2301.3,-9,7.25,-9,2327.2,-9,-9,-9,-9,-9,-9,-9,-9,45.30818826
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,0,0.0,11,-9,11,24.9151,32.6097,292.52,25.8,0.13,13.77,0.05,0.17,0.01,1.449,0.005,0.23,0.03,2213.4,2211.8,7.824,7.824,2042.4,2047.7,0.46,0.46,0.46,0.45,0.11,0.07,0.12,15.55756353
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,5.5,5.5,9.3147,32.6365,9.3141,25.2184,32.6307,308.51,26.71,0.14,13.98,0.05,0.15,0.01,1.364,0.005,0.19,0.03,2215.4,-9,7.822,-9,2043.1,-9,0.43,-9,0.43,-9,-9,-9,-9,15.71237937
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,25.7,25.5,7.1508,32.79,7.1485,25.6581,32.8169,328.11,27.02,0.14,15.54,0.05,0.19,0.01,1.459,0.005,0.36,0.03,2223.9,-9,7.79,-9,2067.6,-9,0.43,-9,0.41,-9,-9,-9,-9,17.55674674
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,45.8,45.4,3.3364,32.9059,3.3336,26.1839,32.9081,329.97,33.38,0.14,20.08,0.05,0.3,0.01,1.772,0.006,0.93,0.03,2227.6,-9,7.689,-9,2112.8,-9,0.52,0.54,0.51,0.52,-9,-9,-9,23.18973002
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,76.3,75.7,2.1773,32.989,2.1734,26.3476,32.9906,326.83,34.96,0.14,22.34,0.06,0.34,0.01,1.853,0.006,-0.02,0.03,2229.8,-9,7.653,-9,2122.7,-9,0.14,0.14,0.12,0.12,-9,-9,-9,24.59865861
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,101.3,100.4,1.7149,33.0242,1.7101,26.4099,33.0251,325.61,36.57,0.15,23.29,0.06,0.03,0.01,1.893,0.006,-0.03,0.03,2231.8,-9,7.638,-9,2131.5,-9,0.07,-9,0.06,-9,-9,-9,-9,25.25679499
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,126.6,125.5,1.8346,33.0943,1.8284,26.4576,33.0978,313.68,39.42,0.15,24.23,0.06,0.03,0.01,1.948,0.006,-0.03,0.03,2235.9,-9,7.62,-9,2141.4,-9,0.03,-9,0.03,-9,-9,-9,-9,26.21987949
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,151.8,150.0,1.9141,33.2841,1.9065,26.604,33.2793,246.08,54.18,0.17,30.02,0.07,0.03,0.01,2.313,0.007,-0.02,0.03,2250,-9,7.506,-9,2192.8,-9,0.02,-9,0.01,-9,-9,-9,-9,32.32334167
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,177.3,175.8,2.5314,33.5531,2.5215,26.7711,33.5444,148.16,74.13,0.19,37.41,0.08,0.02,0.01,2.774,0.008,-0.02,0.03,2270.8,-9,7.352,-9,2262.3,-9,0.01,-9,0.01,-9,-9,-9,-9,39.95659901
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,201.9,200.2,2.9332,33.6877,2.9212,26.8445,33.6846,98.69,84,0.2,40.59,0.08,0.03,0.01,2.972,0.009,-0.02,0.03,2281.9,-9,7.288,-9,2292.2,-9,0.01,-9,0.01,-9,-9,-9,-9,43.18777322
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,252.4,250.2,3.1821,33.813,3.1664,26.9225,33.8119,65.97,92.56,0.21,42.36,0.09,0.02,0.01,3.074,0.009,-0.02,0.03,2293.7,-9,7.253,-9,2317.6,-9,-9,-9,-9,-9,-9,-9,-9,44.89455942
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,301.2,298.5,3.3358,33.9186,3.3165,26.9928,33.9184,44.79,99.95,0.22,43.45,0.09,0.02,0.01,3.134,0.009,0.03,0.03,2304.7,-9,7.241,-9,2336.1,-9,-9,-9,-9,-9,-9,-9,-9,45.96165684
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,404.3,400.6,3.4123,34.0478,3.3857,27.0893,34.0478,32,109.77,0.24,43.53,0.09,0.01,0.01,3.15,0.009,-0.02,0.03,2322.2,-9,7.25,-9,2344.1,-9,-9,-9,-9,-9,-9,-9,-9,45.81244283
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,504.5,499.7,3.3643,34.1681,3.3309,27.1904,34.1669,20.89,120.51,0.25,44,0.09,0.01,0.01,3.17,0.009,0,0.03,2337.7,-9,7.26,-9,2360.2,-9,-9,-9,-9,-9,-9,-9,-9,46.17085544
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,607.2,601.3,3.2155,34.2368,3.1754,27.2597,34.2363,18.83,128.47,0.26,44.1,0.09,0.01,0.01,3.177,0.009,-0.03,0.03,2348.9,-9,7.267,-9,2367.8,-9,-9,-9,-9,-9,-9,-9,-9,46.15293577
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,707.7,700.7,3.0695,34.3025,3.0229,27.3262,34.3012,27.29,133.11,0.26,43.33,0.09,0.01,0.01,3.139,0.009,-0.01,0.03,2358.3,-9,7.296,-9,2369.9,-9,-9,-9,-9,-9,-9,-9,-9,45.28401533
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,808,799.7,2.9183,34.344,2.8654,27.3735,34.3434,23.99,139.81,0.27,43.66,0.09,0.01,0.01,3.158,0.009,-0.02,0.03,2367.9,-9,7.294,-9,2377.4,-9,-9,-9,-9,-9,-9,-9,-9,45.5638232
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,909.6,900.1,2.7571,34.3802,2.6979,27.4172,34.38,18.19,146.87,0.28,44.19,0.09,0.01,0.01,3.19,0.009,-0.03,0.03,2372.8,-9,7.289,-9,2385.3,-9,-9,-9,-9,-9,-9,-9,-9,46.05879364
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,1011.1,1000.3,2.6245,34.4156,2.5589,27.4576,34.4153,19.59,151.63,0.29,44.17,0.09,0.01,0.01,3.185,0.009,-0.03,0.03,2379.7,-9,7.294,-9,2389.7,2390.7,-9,-9,-9,-9,-9,-9,-9,45.99192566
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,1264.6,1250.3,2.3303,34.4862,2.2485,27.5401,34.4863,29.42,160.1,0.3,43.69,0.09,0.01,0.01,3.144,0.009,-0.02,0.03,2392.8,-9,7.322,-9,2393.8,-9,-9,-9,-9,-9,-9,-9,-9,45.41103802
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,1518.8,1500.7,2.1177,34.5368,2.0187,27.5991,34.5364,42.68,164.8,0.3,42.9,0.09,0.01,0.01,3.082,0.009,-0.04,0.03,2399.2,-9,7.352,7.356,2391.1,-9,-9,-9,-9,-9,-9,-9,-9,44.50594404
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,1772.2,1750.0,1.9542,34.5768,1.8373,27.6453,34.5763,60.69,165.24,0.3,41.85,0.09,0.01,0.01,3.003,0.009,-0.02,0.03,2406.5,2405.5,7.391,-9,2382.2,-9,-9,-9,-9,-9,-9,-9,-9,43.38780286
MR13-04,K02_03,07/22/2013,159.994,47.001,5185,2028.7,2002.2,1.8103,34.6064,1.6745,27.6814,34.6062,76.01,166.03,0.3,40.94,0.08,0.01,0.01,2.935,0.008,-0.03,0.03,2409,-9,7.426,-9,2375.8,-9,-9,-9,-9,-9,-9,-9,-9,42.39804962
KS13-05, KS-3885,06/10/2013,160.081,47.10016667,5164,0,0.0,5.6637,32.8986,5.6635,25.9331,32.8986,331.12,36.87,,19.74,,0.21,,1.67,,,,2217.1,,7.7363,,2093.3,,,,0.7,,,,,
KS13-05, KS-3885,06/10/2013,160.081,47.10016667,5164,11.7,12.0,5.5091,32.8985,5.5082,25.9513,32.8985,333.86,36.32,,19.52,,0.21,,1.64,,,,2220.5,,7.7381,,2092.9,,,,0.74,,,,,
KS13-05, KS-3885,06/10/2013,160.081,47.10016667,5164,26.1,26.0,3.8794,32.9082,3.8778,26.1344,32.9082,347.14,36.45,,19.73,,0.17,,1.67,,,,2220.7,,7.7316,,2097.5,,,,0.79,,,,,
KS13-05, KS-3885,06/10/2013,160.081,47.10016667,5164,52.6,52.0,2.7531,32.9251,2.7502,26.2503,32.9251,334.74,39.41,,22.14,,0.21,,1.82,,,,2218.4,,7.6812,,2114.1,,,,0.5,,,,,
KS13-05, KS-3885,06/10/2013,160.081,47.10016667,5164,78.6,78.0,1.95,33.0184,1.9461,26.3882,33.0184,331.82,41.93,,24.09,,0.46,,1.95,,,,2220.4,,7.645,,2128.9,,,,0.23,,,,,
KS13-05, KS-3885,06/10/2013,160.081,47.10016667,5164,103,102.0,1.5188,33.0417,1.514,26.4376,33.0417,324.27,42.61,,24.92,,0.38,,1.99,,,,2222.6,,7.6298,,2136.5,,,,0.11,,,,,
KS13-05, KS-3885,06/10/2013,160.081,47.10016667,5164,127.9,127.0,1.7569,33.2077,1.7507,26.5541,33.2077,271.35,52.37,,29.29,,0.01,,2.23,,,,2235.3,,7.5491,,2175.4,,,,0.03,,,,,
KS13-05, KS-3885,06/10/2013,160.081,47.10016667,5164,153,150.0,3.2012,33.6427,3.1918,26.7844,33.6427,116.04,79.58,,39.38,,0,,2.84,,,,2276.5,,7.336,,2276.6,,,,0.01,,,,,
KS13-05, KS-3885,06/10/2013,160.081,47.10016667,5164,204.1,202.0,3.6704,33.839,3.6569,26.8968,33.839,51.72,92.14,,43.4,,0,,3.08,,,,2286.8,,7.2504,,2320,,,,0.01,,,,,
KS13-05, KS-3885,06/10/2013,160.081,47.10016667,5164,256,254.0,3.7228,33.9384,3.7057,26.9712,33.9384,29.36,99.07,,44.68,,0,,3.15,,,,2299.3,,7.2273,,2336.9,,,,,,,,,
KS13-05, KS-3885,06/10/2013,160.081,47.10016667,5164,305.7,303.0,3.6839,34.0215,3.6634,27.0415,34.0215,20.46,106.49,,44.74,,0,,3.17,,,,2309.5,,7.2324,,2347.3,,,,,,,,,
KS13-05, KS-3885,06/10/2013,160.081,47.10016667,5164,406.6,403.0,3.5216,34.1279,3.4945,27.1427,34.1279,16.15,117.27,,44.55,,0,,3.16,,,,2331.3,,7.2485,,2357,,,,,,,,,
KS13-05, KS-3885,06/10/2013,160.081,47.10016667,5164,507.2,502.0,3.3743,34.199,3.3406,27.2141,34.199,13.66,125.02,,44.56,,0,,3.16,,,,2339.5,,7.2544,,2368.5,,,,,,,,,
KS13-05, KS-3885,06/10/2013,160.081,47.10016667,5164,610,604.0,3.2243,34.263,3.1839,27.2798,34.263,12.89,132.05,,44.52,,0,,3.17,,,,2348.4,,7.2661,,2375,,,,,,,,,
